County,CBSA Code,Type
23001,30340,A
42087,30380,B
31047,30420,B
31073,30420,B
21017,30460,A
21049,30460,A
21067,30460,A
21113,30460,A
21209,30460,A
21239,30460,A
20175,30580,B
39003,30620,A
17107,30660,B
31109,30700,A
31159,30700,A
05045,30780,A
05053,30780,A
05085,30780,A
05105,30780,A
05119,30780,A
05125,30780,A
42035,30820,B
16041,30860,A
49005,30860,A
54045,30880,B
18017,30900,B
21121,30940,B
21125,30940,B
21235,30940,B
48183,30980,A
48401,30980,A
48459,30980,A
53015,31020,A
35028,31060,B
06059,31080,A
06037,31080,A
18019,31140,A
18043,31140,A
18061,31140,A
18143,31140,A
18175,31140,A
21029,31140,A
21103,31140,A
21111,31140,A
21185,31140,A
21211,31140,A
21215,31140,A
21223,31140,A
48107,31180,A
48303,31180,A
48305,31180,A
26105,31220,B
48005,31260,B
37155,31300,B
51009,31340,A
51011,31340,A
51019,31340,A
51031,31340,A
51515,31340,A
51680,31340,A
17109,31380,B
13021,31420,A
13079,31420,A
13169,31420,A
13207,31420,A
13289,31420,A
06039,31460,A
18077,31500,B
55021,31540,A
55025,31540,A
55045,31540,A
55049,31540,A
21107,31580,B
05027,31620,B
36033,31660,B
05059,31680,B
33011,31700,A
20149,31740,A
20161,31740,A
55071,31820,B
27013,31860,A
27103,31860,A
39139,31900,A
39167,31930,B
26109,31940,B
55075,31940,B
18053,31980,B
37111,32000,B
39101,32020,B
26103,32100,B
27083,32140,B
29195,32180,B
48203,32220,B
19127,32260,B
47183,32280,B
51089,32300,B
51690,32300,B
29147,32340,B
19033,32380,B
19195,32380,B
72067,32420,A
72097,32420,A
21083,32460,B
21161,32500,B
40121,32540,B
48215,32580,A
28005,32620,B
28113,32620,B
47177,32660,B
20113,32700,B
42039,32740,B
41029,32780,A
05035,32820,A
28009,32820,A
28033,32820,A
28093,32820,A
28137,32820,A
28143,32820,A
47047,32820,A
47157,32820,A
47167,32820,A
55033,32860,B
06047,32900,A
28023,32940,B
28069,32940,B
28075,32940,B
55069,32980,B
29007,33020,B
40115,33060,B
12011,33100,A
12086,33100,A
12099,33100,A
18091,33140,A
21013,33180,B
26111,33220,A
48317,33260,A
48329,33260,A
13009,33300,B
13141,33300,B
55079,33340,A
55089,33340,A
55131,33340,A
55133,33340,A
48363,33420,B
27003,33460,A
27019,33460,A
27025,33460,A
27037,33460,A
27053,33460,A
27059,33460,A
27079,33460,A
27095,33460,A
27123,33460,A
27139,33460,A
27141,33460,A
27143,33460,A
27163,33460,A
27171,33460,A
55093,33460,A
55109,33460,A
38049,33500,B
38075,33500,B
38101,33500,B
30063,33540,A
46035,33580,B
46061,33580,B
29175,33620,B
01097,33660,A
06099,33700,A
22073,33740,A
22111,33740,A
26115,33780,A
01001,33860,A
01051,33860,A
01085,33860,A
01101,33860,A
08085,33940,B
37031,33980,B
22101,34020,B
54061,34060,A
54077,34060,A
47063,34100,A
47089,34100,A
16057,34140,B
53025,34180,B
13071,34220,B
05005,34260,B
16039,34300,B
37171,34340,B
26073,34380,B
48449,34420,B
21011,34460,B
21165,34460,B
21173,34460,B
17081,34500,B
39083,34540,B
53057,34580,A
18035,34620,A
21035,34660,B
19139,34700,B
26121,34740,A
40101,34780,B
37019,34820,A
45051,34820,A
48347,34860,B
06055,34900,A
12021,34940,A
47015,34980,A
47021,34980,A
47037,34980,A
47043,34980,A
47081,34980,A
47111,34980,A
47119,34980,A
47147,34980,A
47149,34980,A
47159,34980,A
47165,34980,A
47169,34980,A
47187,34980,A
47189,34980,A
22029,35020,B
28001,35020,B
22069,35060,B
37049,35100,A
37103,35100,A
37137,35100,A
45071,35140,B
18065,35220,B
42073,35260,B
09009,35300,A
22051,35380,A
22071,35380,A
22075,35380,A
22087,35380,A
22089,35380,A
22093,35380,A
22095,35380,A
22103,35380,A
39157,35420,B
41041,35440,B
47029,35460,B
19099,35500,B
27015,35580,B
36027,35620,A
36079,35620,A
36059,35620,A
36103,35620,A
34013,35620,A
34019,35620,A
34027,35620,A
34035,35620,A
34037,35620,A
34039,35620,A
42103,35620,A
34003,35620,A
34017,35620,A
34023,35620,A
34025,35620,A
34029,35620,A
34031,35620,A
36005,35620,A
36047,35620,A
36061,35620,A
36071,35620,A
36081,35620,A
36085,35620,A
36087,35620,A
36119,35620,A
26021,35660,A
04023,35700,B
31119,35740,B
31139,35740,B
31167,35740,B
31111,35820,B
31113,35820,B
31117,35820,B
12081,35840,A
12115,35840,A
18079,35860,B
37193,35900,B
39077,35940,B
09011,35980,A
53029,36020,B
12083,36100,A
34009,36140,A
48135,36220,A
49003,36260,A
49011,36260,A
49029,36260,A
49057,36260,A
36089,36300,B
42121,36340,B
12093,36380,B
40017,36420,A
40027,36420,A
40051,36420,A
40081,36420,A
40083,36420,A
40087,36420,A
40109,36420,A
36009,36460,B
53067,36500,A
19085,36540,A
19129,36540,A
19155,36540,A
31025,36540,A
31055,36540,A
31153,36540,A
31155,36540,A
31177,36540,A
36077,36580,B
16075,36620,B
41045,36620,B
22097,36660,B
45075,36700,B
12069,36740,A
12095,36740,A
12097,36740,A
12117,36740,A
55139,36780,A
19123,36820,B
53001,36830,B
20059,36840,B
17011,36860,B
17099,36860,B
17155,36860,B
19051,36900,B
19179,36900,B
27147,36940,B
21059,36980,A
21091,36980,A
21149,36980,A
26155,37020,B
28071,37060,B
37077,37080,B
06111,37100,A
01045,37120,B
17127,37140,B
21007,37140,B
21139,37140,B
21145,37140,B
32023,37220,B
12107,37260,B
48001,37300,B
12009,37340,A
48179,37420,B
12005,37460,A
12045,37460,A
05055,37500,B
47079,37540,B
48277,37580,B
54105,37620,A
54107,37620,A
20099,37660,B
04007,37740,B
48389,37780,B
12033,37860,A
12113,37860,A
17123,37900,A
17143,37900,A
17175,37900,A
17179,37900,A
17203,37900,A
18103,37940,B
34005,37980,A
34007,37980,A
34015,37980,A
42017,37980,A
42029,37980,A
42091,37980,A
42045,37980,A
42101,37980,A
10003,37980,A
24015,37980,A
34033,37980,A
04013,38060,A
04021,38060,A
28109,38100,B
46065,38180,B
46117,38180,B
46119,38180,B
05025,38220,A
05069,38220,A
05079,38220,A
37125,38240,B
20037,38260,B
42003,38300,A
42005,38300,A
